序号,分类代号,分类名称,纤维代码,中文通用名,英文名称,化学命名,CAS号,代际划分,发明年代,商业化年代,首发机构/发明人,纺丝成型工艺,密度(g/cm³),断裂强度(cN/dtex),断裂强度(GPa),拉伸模量(GPa),断裂伸长率(%),公定回潮率(%),极限氧指数LOI(%),熔点(°C),最高服役温度(°C),生物基,可生物降解,战略高性能,代表品牌/商标,典型应用领域,2026技术成熟度与产业现状
1,REG_CELL,再生纤维素纤维,CV,粘胶纤维 (普通粘胶/人造棉/人造丝),Viscose Rayon,再生纤维素 (黄原酸酯法),68442-85-3,第1代人造纤维,1891,1905,"Cross, Bevan & Beadle (英国 Courtaulds)",湿法纺丝 (硫酸/硫酸锌/硫酸钠酸浴凝固),1.51,2.2,0.33,5.5,20.0,13.0,19.5,,120.0,是,是,否,"Danufil, Rayon, 人造丝, 人造棉",服装内衣、面料衬里、家用纺织品、医用纱布水刺无纺布、湿巾,产业规模成熟；全面升级为密闭化二硫化碳全回收环保生产线与循环再生棉浆粕源
2,REG_CELL,再生纤维素纤维,CMD,莫代尔纤维 (高湿模量粘胶纤维),Modal Fiber,高湿模量改性再生纤维素,68442-85-3,第2代差别化纤维,1951,1960s,Tachikawa (日本立川) / 兰精 (Lenzing),改性湿法纺丝 (慢凝固浴、高拉伸低酸工艺),1.52,3.4,0.52,7.0,14.0,12.5,19.5,,130.0,是,是,否,"Lenzing Modal, MicroModal",高档贴身内衣、床品家纺、高支针织面料、柔顺亲肤混纺纺织品,全球高档纺织核心原料，广泛结合环保认证榉木浆与零碳碳中和认证
3,REG_CELL,再生纤维素纤维,CLY,莱赛尔纤维 (天丝/溶剂法纤维素纤维),Lyocell Fiber,N-甲基氧化吗啉 (NMMO) 溶剂法再生纤维素,68442-85-3,第3代绿色人造纤维,1972,1992,Akzo Nobel / Courtaulds / Lenzing,干湿法纺丝 (NMMO水溶液直接物理溶解，溶剂回收率>99.5%),1.5,4.2,0.63,11.0,13.0,11.5,20.0,,140.0,是,是,否,"Tencel (天丝), Lenzing Lyocell, 中纺院绿纤",中高端服装面料、牛仔服饰、水刺高级医美无纺布、电池隔膜纸基材料,绿色纤维主导品种，百万吨级产能落地，原纤化调控与非原纤化改性技术全面成熟
4,REG_CELL,再生纤维素纤维,CUP,铜氨纤维,Cupro (Cuprammonium Rayon),氢氧化四氨合铜络合物溶剂法再生纤维素,68442-85-3,第1代人造纤维,1897,1919,Bemberg (宾霸 / 旭化成 Asahi Kasei),漏斗式湿法喷丝成形 (铜氨络合物水溶液溶解棉短绒),1.52,2.3,0.35,6.5,18.0,12.0,20.0,,125.0,是,是,否,"Bemberg (宾霸), Asahi Kasei Cupro",奢华西服里料、高级真丝触感时装、透气面膜基布、超纯无尘擦拭布,以棉籽短绒为全降解原料的高端闭环制造，日本与中国新增高洁净化生产基地
5,REG_CELL,再生纤维素纤维,CA,醋酯纤维 (二醋酸纤维),Acetate Fiber (Cellulose Diacetate),二乙酰基纤维素酯,9004-35-7,第1代半合成纤维,1865,1924,Dreyfus 兄弟 (Celanese / 塞拉尼斯),干法纺丝 (丙酮溶剂溶解二醋酸纤维素，热空气挥发成形),1.32,1.4,0.18,3.8,28.0,6.5,18.5,260.0,110.0,是,是,否,"Celanese Acetate, Eastman Estron",香烟滤嘴丝束、高端仿真丝礼服、轻奢围巾领带、女士缎面面料,滤嘴丝束全面推广可自然堆肥降解新型增塑剂配方，纺织领域向超细高回弹长丝扩展
6,REG_CELL,再生纤维素纤维,CTA,三醋酯纤维 (三醋酸纤维),Triacetate Fiber (Cellulose Triacetate),三乙酰基纤维素酯,9012-09-3,第2代改性半合成纤维,1894,1954,Celanese / Courtaulds,干法纺丝 (二氯甲烷/甲醇混合溶剂挥发),1.3,1.2,0.16,4.0,25.0,3.5,19.0,300.0,130.0,是,是,否,"Soalon (日本三菱化学), Arnel",免烫高档西服、百褶裙、醋酸缎光礼服、光学偏光片保护膜前驱体,日本三菱化学独家技术持续垄断超高端时尚女装，环保非卤溶剂纺丝新产线落成
7,REG_CELL,再生纤维素纤维,BC,细菌纤维素纤维,Bacterial Cellulose Fiber,醋酸杆菌生物合成超微纯纤维素,68442-85-3,第4代生物工程合成纤维,1886,2010s,Brown / 现代合成生物学研究机构,生物反应发酵自组装网络，或微流控湿法定向纺丝,1.55,6.5,1.0,25.0,4.0,14.0,20.0,,150.0,是,是,是,"Biofibe, Nata de coco derived medical pulp",人工血管移植管腔、高阶医用创面敷料、高端声学耳机振膜、柔性显示透明基底,生物反应器规模化量产达到千吨级，微流控连续拉伸制备高模长丝实现临床级体内植入认证
8,REG_PROT,再生蛋白质纤维,SPF,大豆蛋白复合纤维,Soybean Protein Composite Fiber,大豆球蛋白/聚乙烯醇(PVA)或纤维素共混共聚物,,第3代生物质人造纤维,1937,2000,李官奇 (中国原创发明) / 江山大豆纤维,湿法纺丝 (大豆粕提取豆粕球蛋白，与高聚物共混纺丝，乙二醛或无醛交联),1.29,3.0,0.39,4.5,18.0,8.6,22.0,,120.0,是,是,否,"Soybean Silk, 大豆羊绒",保暖内衣、羊绒混纺大衣、亲肤养肤床品、抗菌母婴服饰,第二代无醛生物酶交联与大豆蛋白高保留率技术全面推广，耐热水洗性大幅增强
9,REG_PROT,再生蛋白质纤维,MCF,牛奶酪蛋白纤维,Milk Casein Fiber,牛奶酪蛋白接枝共聚高分子,9000-71-9,第2代人造纤维,1935,1936 / 2000s改性,Ferretti (Lanital / 意大利) / 现代高分子共混改良,湿法纺丝 (废弃牛奶提取酪蛋白后碱溶，酸浴凝固及交联),1.3,2.5,0.32,4.0,22.0,7.0,23.0,,115.0,是,是,否,"Lanital, QMilch, 普力纤维",高端轻奢内衣、婴儿贴身织物、抑菌床品家纺、高档混纺羊毛衫,全生物源无重金属交联工艺普及，利用变质牛奶资源化生产实现零石化添加
10,REG_PROT,再生蛋白质纤维,RSF,再生蚕丝蛋白纤维,Regenerated Silk Fibroin Fiber,天然蚕丝丝素蛋白再生聚合物,9007-76-5,第4代生物医用高分子纤维,1990s,2015,国内外高校科研机构及生物医用材料企业,微流控湿纺 / 静电纺丝 (天然下脚丝脱胶溶解于六氟异丙醇或氯化钙-乙醇水溶液),1.35,3.8,0.51,12.0,16.0,11.0,24.0,,130.0,是,是,是,"SilkProtec, FibroinSilk",人工韧带与软骨支架、神经导管、无疤痕缝合线、可穿戴生物传感水凝胶基质,多项三类医疗器械获批上市，具有优异的生物相容性与受控可吸收周期
